reviewId,creationDate,criticName,criticPageUrl,reviewState,isFresh,isRotten,isTopCritic,publicationName,scoreSentiment,originalScore,movieId
1912176,1966-07-30,jennie kermode,/critics/jennie-kermode,fresh,True,False,False,eye for film,POSITIVE,0.8,7602d2ab-c9bc-3439-9cd6-d3a06e81728e
1895073,1998-08-21,scott nash,/critics/scott-nash,fresh,True,False,False,three movie buffs,POSITIVE,0.75,4128b2f6-8c69-396a-a83d-0d44eb90e5f7
25507,2000-01-01,roger ebert,/critics/roger-ebert,fresh,True,False,True,chicago sun-times,POSITIVE,0.75,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25508,2000-01-01,n/a,n/a,rotten,False,True,True,empire magazine,NEGATIVE,0.4,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25509,2000-01-01,joe brown,/critics/joe-brown,fresh,True,False,True,washington post,POSITIVE,0.0,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25510,2000-01-01,hal hinson,/critics/hal-hinson,rotten,False,True,True,washington post,NEGATIVE,0.0,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25516,2000-01-01,steve rhodes,/critics/steve-rhodes,rotten,False,True,False,internet reviews,NEGATIVE,0.5,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25518,2000-01-01,james o'ehley,/critics/james-oehley,rotten,False,True,False,sci-fi movie page,NEGATIVE,0.625,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25519,2000-01-01,marc savlov,/critics/marc-savlov,fresh,True,False,True,austin chronicle,POSITIVE,0.7,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
25525,2000-01-01,chris hicks,/critics/chris-hicks,rotten,False,True,False,deseret news (salt lake city),NEGATIVE,0.0,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
768090,2000-01-01,mark r. leeper,/critics/mark-r-leeper,fresh,True,False,False,rec.arts.movies.reviews,POSITIVE,0.8,01935e47-e735-30c3-b8bd-72a9dbbcfa8a
